"Source","Waypoint ID","Waypoint Date","Waypoint Time","X","Y","Last Modified","Last Modified By","Observation Category 0","Activity type","Beach name","CCL: curved carapace length","CCW: curved carapace width","D: the total number of dead hatchlings found inside the nest","Date","H: the total number of hatched hatchlings","Nest location","Nest position","Physical abnormality","Physical abnormality - comments","Predation","Turtle species","U: the total number of unhatched eggs in the nest","Observation Group"
"Patrol","3","Jul 28, 2023","10:51:24 AM","97.09040833333331","2.0559000000000003","Aug 4, 2023, 3:34:52 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","Jul 28, 2023","","D: dune sand (area on top of dune)","A: above high tide","","","","CM: Green turtle","","b9f5ba1fea2f4c50a45259340f82b66d"
"Patrol","2","Jul 28, 2023","10:34:24 AM","97.08551666666666","2.060951666666667","Aug 4, 2023, 3:34:52 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","Jul 28, 2023","","T: beneath tree, shrub, forest","A: above high tide","","","","CM: Green turtle","","21395ffadb384b0287c38d2f4aa64361"
"Patrol","6","Jul 27, 2023","10:56:53 PM","97.09138666666668","2.0528916666666666","Aug 4, 2023, 3:34:46 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","109.0","99.0","","Jul 27, 2023","","G: dune in grass","A: above high tide","","","","CM: Green turtle","","287e62bb32204583bcaa35a10ed7ec31"
"Patrol","5","Jul 27, 2023","10:53:58 PM","97.091305","2.05331","Aug 4, 2023, 3:34:46 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","103.0","92.0","","Jul 27, 2023","","G: dune in grass","A: above high tide","","","","CM: Green turtle","","89cc31d97c4445b8a678ff7accad3e07"
"Patrol","4","Jul 27, 2023","10:42:24 PM","97.08825666666668","2.057751666666667","Aug 4, 2023, 3:34:46 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","88.0","79.0","","Jul 27, 2023","","D: dune sand (area on top of dune)","A: above high tide","","","","CM: Green turtle","","e4d95260094c4d3eb85644f44c8c1b5f"
"Patrol","3","Jul 27, 2023","10:38:26 PM","97.08766666666666","2.058606666666667","Aug 4, 2023, 3:34:46 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","98.0","83.0","","Jul 27, 2023","","T: beneath tree, shrub, forest","A: above high tide","","","","CM: Green turtle","","ed4c580c4c9e40fb8f105c99c38eb1b6"
"Patrol","2","Jul 27, 2023","10:34:09 PM","97.08711666666667","2.0597350000000003","Aug 4, 2023, 3:34:46 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","102.0","92.0","","Jul 27, 2023","","D: dune sand (area on top of dune)","A: above high tide","","","","CM: Green turtle","","b29c343925774ab394216fe6ae8ff0f2"
"Patrol","10","Jul 27, 2023","5:52:46 PM","97.08190666666665","2.066988333333333","Aug 4, 2023, 3:34:38 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Pantai pelanggaran","","","","Jul 27, 2023","","B: beach (between high tide and slope)","BE: between low and high tide","","","","CM: Green turtle","","9184ba39bb8d471193a52a51fe2b3bbd"
"Patrol","9","Jul 27, 2023","5:51:24 PM","97.08179999999999","2.0668599999999997","Aug 4, 2023, 3:34:37 PM","Dwi Iqbal Maulana","Sea turtle activity","FC-U: false crawl without nesting attempt","Pantai pelanggaran","","","","Jul 27, 2023","","B: beach (between high tide and slope)","BE: between low and high tide","","","","CM: Green turtle","","8cfec5d111ee43a790893a77875eaf3c"
"Patrol","8","Jul 27, 2023","5:49:17 PM","97.08155166666666","2.0662733333333336","Aug 4, 2023, 3:34:37 PM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Pantai pelanggaran","","","","Jul 27, 2023","","D: dune sand (area on top of dune)","A: above high tide","","","","CM: Green turtle","","09c775379e5f45df8ecbdc7ffbbcfb83"
