"Source","Waypoint ID","Waypoint Date","Waypoint Time","X","Y","Last Modified","Last Modified By","Observation Category 0","Activity type","Beach name","Bird species","CCL: curved carapace length","CCW: curved carapace width","Comments","D: the total number of dead hatchlings found inside the nest","Date","Date","H: the total number of hatched hatchlings","Habitat","Nest location","Nest position","Number of individuals","Physical abnormality","Physical abnormality - comments","Place","Predation","Turtle species","Type of activity","U: the total number of unhatched eggs in the nest","Observation Group"
"Patrol","3","Mar 19, 2023","9:41:38 PM","97.09134333333334","2.0526983333333333","Jul 4, 2023, 9:21:15 AM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","103.0","91.0","","","Mar 19, 2023","","","","T: beneath tree, shrub, forest","A: above high tide","","","","","","CM: Green turtle","","","95140020af9244c48f41cdc399174178"
"Patrol","2","Mar 19, 2023","9:31:37 PM","97.08961833333333","2.0564733333333334","Jul 4, 2023, 9:21:15 AM","Dwi Iqbal Maulana","Sea turtle activity","FC-U: false crawl without nesting attempt","Amandangan","","103.0","91.0","","","Mar 19, 2023","","","","T: beneath tree, shrub, forest","A: above high tide","","","","","","CM: Green turtle","","","e50d9c75d3884a878988feee1aed5bcf"
"Patrol","3","Mar 19, 2023","11:51:18 AM","97.09122666666666","2.05352","Jul 4, 2023, 9:21:12 AM","Dwi Iqbal Maulana","Sea turtle activity","H: hatching (both direct encounter and visible tracks)","Amandangan","","","","","","Mar 19, 2023","","89.0","","G: dune in grass","A: above high tide","","","","","","CM: Green turtle","","4.0","bd4f3ad4b8bc43958e25eb085d952434"
"Patrol","2","Mar 19, 2023","11:11:57 AM","97.08560333333335","2.0608966666666664","Jul 4, 2023, 9:21:12 AM","Dwi Iqbal Maulana","Sea turtle activity","P: predation","Amandangan","","","","","","Mar 19, 2023","","","","T: beneath tree, shrub, forest","A: above high tide","","","","","Yes","CM: Green turtle","","","5428c01d414a43c1b7548ebe0bb23949"
"Patrol","3","Mar 18, 2023","10:44:25 PM","97.09043500000001","2.055555","Jul 4, 2023, 9:21:07 AM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","","","Mar 18, 2023","","","","D: dune sand (area on top of dune)","A: above high tide","","","Tidak dapat di ukur karena penyu sudah kembali","","","CM: Green turtle","","","b054b87a4fad4f74869f81aff815df67"
"Patrol","2","Mar 18, 2023","10:14:16 PM","97.08111","2.0642216666666666","Jul 4, 2023, 9:21:07 AM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Pantai kecil","","98.0","89.0","","","Mar 18, 2023","","","","D: dune sand (area on top of dune)","A: above high tide","","","","","","CM: Green turtle","","","4f3ea36fd26741efb2e8fb2d69b2ca6a"
"Patrol","4","Mar 18, 2023","9:31:19 AM","97.08793666666666","2.0582583333333333","Jul 4, 2023, 9:21:03 AM","Dwi Iqbal Maulana","Sea turtle activity","P: predation","Amandangan","","","","","","Mar 18, 2023","","","","","","","","","","Yes","CM: Green turtle","","","025108e0185b4b6ca1b5a8039630fc3c"
"Patrol","3","Mar 18, 2023","9:06:14 AM","97.09011333333335","2.0557366666666668","Jul 4, 2023, 9:21:03 AM","Dwi Iqbal Maulana","Sea turtle activity","H: hatching (both direct encounter and visible tracks)","Amandangan","","5.0","4.0","","2.0","Mar 18, 2023","","","","D: dune sand (area on top of dune)","A: above high tide","","DE: death","Sarang tukik di serang semut dan tidak dapat cangkang","","Yes","CM: Green turtle","","23.0","f213f074700b4351ad4447aca061f6ac"
"Patrol","2","Mar 18, 2023","8:19:38 AM","97.09066","2.0550983333333335","Jul 4, 2023, 9:21:03 AM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","","","","","Mar 18, 2023","","","","G: dune in grass","A: above high tide","","","","","","CM: Green turtle","","","dda4964562d449ab8671e2f697875f7f"
"Patrol","4","Mar 17, 2023","11:55:49 PM","97.09027333333333","2.0556466666666666","Jul 4, 2023, 9:20:54 AM","Dwi Iqbal Maulana","Sea turtle activity","IS: successful nesting","Amandangan","","110.0","102.0","","","Mar 17, 2023","","","","D: dune sand (area on top of dune)","A: above high tide","","","","","","CM: Green turtle","","","61baf221c2fd428090e2a328c36e86b9"
