Source;Waypoint ID;Waypoint Date;Waypoint Time;X;Y;Last Modified;Last Modified By;Observation Category 0;Activity type;Beach name;Bird species;CCL: curved carapace length;CCW: curved carapace width;Date;Date;H: the total number of hatched hatchlings;Habitat;Nest location;Nest position;Number of individuals;Physical abnormality;Physical abnormality - comments;Predation;Turtle species;Type of activity;U: the total number of unhatched eggs in the nest;Observation Group
Patrol;3;25-May-23;2:00:50 PM;9708747833333330,00;20589749999999900,00;Jul 4, 2023, 9:39:19 AM;Dwi Iqbal Maulana;Sea turtle activity;FC-U: false crawl without nesting attempt;Amandangan;;;;25-May-23;;;;D: dune sand (area on top of dune);A: above high tide;;;Gelombang sampai ke zona tinggi;;CM: Green turtle;;;9c8501e5152345ba9a647b6ac657260b
Patrol;2;25-May-23;1:51:39 PM;9708654,00;20602333333333300,00;Jul 4, 2023, 9:39:19 AM;Dwi Iqbal Maulana;Sea turtle activity;FC-U: false crawl without nesting attempt;Amandangan;;;;25-May-23;;;;T: beneath tree, shrub, forest;A: above high tide;;;;;CM: Green turtle;;;29996f232ea6452a85c618e4a5a129a9
Patrol;10;24-May-23;2:46:11 PM;9709129833333330,00;20520183333333300,00;Jul 4, 2023, 9:39:00 AM;Dwi Iqbal Maulana;Sea turtle activity;FC-U: false crawl without nesting attempt;Amandangan;;;;24-May-23;;;;T: beneath tree, shrub, forest;A: above high tide;;;;;CM: Green turtle;;;445d3d6bb6d4475a9c81653e71ff083a
Patrol;9;24-May-23;2:40:59 PM;9709137166666660,00;205355,00;Jul 4, 2023, 9:38:59 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;24-May-23;;;;T: beneath tree, shrub, forest;A: above high tide;;;;;CM: Green turtle;;;e9bdcd4494be42769d88610f49508e20
Patrol;8;24-May-23;2:38:39 PM;9709132999999990,00;20538316666666600,00;Jul 4, 2023, 9:38:59 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;24-May-23;;;;T: beneath tree, shrub, forest;A: above high tide;;;;Yes;CM: Green turtle;;;0fe702bbac5d4de5875e68a6dad4ef35
Patrol;7;24-May-23;2:35:16 PM;9709095833333330,00;2054701666666660,00;Jul 4, 2023, 9:38:59 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;24-May-23;;;;G: dune in grass;A: above high tide;;;;;CM: Green turtle;;;84b128dcc80149dfaf8091def22ef11a
Patrol;6;24-May-23;2:33:23 PM;9709074333333330,00;2054971666666660,00;Jul 4, 2023, 9:38:59 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;24-May-23;;;;G: dune in grass;A: above high tide;;;;;CM: Green turtle;;;5a98d511f3c54a94af83970692c19b55
Patrol;5;24-May-23;2:27:36 PM;9708897333333330,00;20570749999999900,00;Jul 4, 2023, 9:38:59 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;24-May-23;;;;T: beneath tree, shrub, forest;A: above high tide;;;;;CM: Green turtle;;;6808536aa3f7426fa396b1dee8a1bb70
Patrol;4;24-May-23;2:22:33 PM;9708764166666660,00;205877,00;Jul 4, 2023, 9:38:59 AM;Dwi Iqbal Maulana;Sea turtle activity;FC-U: false crawl without nesting attempt;Amandangan;;;;24-May-23;;;;G: dune in grass;A: above high tide;;;;;CM: Green turtle;;;abf029cc18fe44a6b63099b59d57cc23
Patrol;3;24-May-23;2:19:50 PM;9708727833333330,00;20593966666666600,00;Jul 4, 2023, 9:38:59 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;24-May-23;;;;G: dune in grass;A: above high tide;;;;;CM: Green turtle;;;dd38e114641b4f9d896d6436174ee96b
