Source;Waypoint ID;Waypoint Date;Waypoint Time;X;Y;Last Modified;Last Modified By;Observation Category 0;Activity type;Beach name;Bird species;CCL: curved carapace length;CCW: curved carapace width;Comments;D: the total number of dead hatchlings found inside the nest;Date;Date;Facial ID taken;H: the total number of hatched hatchlings;Habitat;Nest location;Nest position;Number of individuals;Place;Predation;Turtle species;Type of activity;Type of activity (other);U: the total number of unhatched eggs in the nest;Observation Group
Patrol;3;9-Jun-23;9:22:57 AM;9709006333333330,00;2055745,00;Jun 19, 2023, 7:27:53 AM;Dwi Iqbal Maulana;Sea turtle activity;H: hatching (both direct encounter and visible tracks);Amandangan;;;;;;9-Jun-23;;;;;S: front slope of dune in sand;BE: between low and high tide;;;;CM: Green turtle;;;;ce718b0d9f9945feae95f39551d41109
Patrol;2;9-Jun-23;9:12:29 AM;9708758666666660,00;205866,00;Jun 19, 2023, 7:27:53 AM;Dwi Iqbal Maulana;Sea turtle activity;H: hatching (both direct encounter and visible tracks);Amandangan;;;;;;9-Jun-23;;;;;G: dune in grass;A: above high tide;;;;CM: Green turtle;;;;88cabba227ec47a69c526b6a3355133d
Patrol;8;8-Jun-23;10:59:13 PM;9709039,00;20554166666666600,00;Jun 19, 2023, 7:27:46 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;8-Jun-23;;;;;D: dune sand (area on top of dune);BE: between low and high tide;;;;CM: Green turtle;;;;b212a1d93fb54f7da7525030cd1fe320
Patrol;7;8-Jun-23;10:57:37 PM;9709042666666660,00;2055388333333330,00;Jun 19, 2023, 7:27:46 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;8-Jun-23;;;;;G: dune in grass;BE: between low and high tide;;;;CM: Green turtle;;;;ed7d878d892e4e0f920280669a1323d6
Patrol;6;8-Jun-23;10:17:05 PM;9709047000000000,00;20553083333333300,00;Jun 19, 2023, 7:27:46 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;8-Jun-23;;;;;G: dune in grass;BE: between low and high tide;;;;CM: Green turtle;;;;9949eec4a7294ed7a0449fc7ff3c3920
Patrol;5;8-Jun-23;10:10:55 PM;9708969833333330,00;2056256666666660,00;Jun 19, 2023, 7:27:46 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;96.0;89.0;;;8-Jun-23;;;;;G: dune in grass;BE: between low and high tide;;;;CM: Green turtle;;;;77acb211ba7649efad2f9412439b413a
Patrol;4;8-Jun-23;9:57:31 PM;970876,00;20587083333333300,00;Jun 19, 2023, 7:27:46 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;106.0;98.0;;;8-Jun-23;;;;;G: dune in grass;BE: between low and high tide;;;;CM: Green turtle;;;;56863a2fdf134e8487576931017d330e
Patrol;3;8-Jun-23;9:51:12 PM;9708741333333330,00;2059161666666660,00;Jun 19, 2023, 7:27:46 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;109.0;102.0;;;8-Jun-23;;;;;G: dune in grass;A: above high tide;;;;CM: Green turtle;;;;0b474f904cd444cb95e8545500db835c
Patrol;2;8-Jun-23;9:35:10 PM;9708591,00;206059,00;Jun 19, 2023, 7:27:46 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;95.0;84.0;;;8-Jun-23;;;;;D: dune sand (area on top of dune);BE: between low and high tide;;;;CM: Green turtle;;;;37cdfad5a2e540d8ad600c788acca2c5
Patrol;5;8-Jun-23;7:32:24 AM;9709032,00;20554666666666600,00;Jun 19, 2023, 7:27:38 AM;Dwi Iqbal Maulana;Sea turtle activity;H: hatching (both direct encounter and visible tracks);Amandangan;;4.0;3.0;;1.0;8-Jun-23;;;90.0;;B: beach (between high tide and slope);A: above high tide;;;;CM: Green turtle;;;18.0;fd373db4bd09440dbf83a8d8d2e85a11
