Source;Waypoint ID;Waypoint Date;Waypoint Time;X;Y;Last Modified;Last Modified By;Observation Category 0;Activity type;Beach name;Bird species;CCL: curved carapace length;CCW: curved carapace width;Comments;D: the total number of dead hatchlings found inside the nest;Date;Date;Facial ID taken;H: the total number of hatched hatchlings;Habitat;Nest location;Nest position;Number of individuals;Physical abnormality;Physical abnormality - comments;Place;Predation;Turtle species;Type of activity;Type of activity (other);U: the total number of unhatched eggs in the nest;Observation Group
Patrol;15;4-Apr-23;9:35:46 AM;9708126833333330,00;20640316666666600,00;Apr 15, 2023, 10:55:20 AM;Dwi Iqbal Maulana;Sea turtle activity;FC-A: false crawl with nesting attempt;Pantai kecil;;;;;;4-Apr-23;;;;;S: front slope of dune in sand;BE: between low and high tide;;;;;;CM: Green turtle;;;;6c3e33e1e21a4cdfb029b2ba0231b206
Patrol;14;4-Apr-23;9:33:32 AM;9708142833333330,00;2063905,00;Apr 15, 2023, 10:55:20 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Pantai kecil;;;;;;4-Apr-23;;;;;S: front slope of dune in sand;BE: between low and high tide;;;;;;CM: Green turtle;;;;5a27819fe7634eb4a6b76254ea3cb624
Patrol;13;4-Apr-23;9:32:05 AM;9708142833333330,00;20638050000000000,00;Apr 15, 2023, 10:55:20 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Pantai kecil;;;;;;4-Apr-23;;;;;T: beneath tree, shrub, forest;A: above high tide;;;;;;CM: Green turtle;;;;de5e038b152c448988b9b811281e2e8d
Patrol;10;4-Apr-23;9:18:18 AM;9708348833333330,00;2063161666666660,00;Apr 15, 2023, 10:55:20 AM;Dwi Iqbal Maulana;Bird's monitoring;;;Nias hill myna;;;Suara burung  beo 2ekor.;;;4-Apr-23;;;Forest;;;2.0;;;Tree;;;;;;9875f8d2c6b942b4ab5618d87cfe94ca
Patrol;7;4-Apr-23;8:01:14 AM;9709112833333330,00;20541366666666600,00;Apr 15, 2023, 10:55:20 AM;Dwi Iqbal Maulana;Sea turtle activity;H: hatching (both direct encounter and visible tracks);Amandangan;;5.0;4.0;;41.0;4-Apr-23;;;64.0;;D: dune sand (area on top of dune);A: above high tide;;;Ditemukan tukik menetas sebagian adayg lepas kelaut  Sebagian mati didalam sarang sekitar 41ekor, Sisa hidup yg di dalam sarang 6ekor.;;;CM: Green turtle;;;12.0;fb74e6c4073448ffa5769ba6be45b9b0
Patrol;6;4-Apr-23;7:30:53 AM;9709088833333330,00;20543133333333300,00;Apr 15, 2023, 10:55:20 AM;Dwi Iqbal Maulana;Sea turtle activity;H: hatching (both direct encounter and visible tracks);Amandangan;;;;;;4-Apr-23;;;61.0;;S: front slope of dune in sand;BE: between low and high tide;;;;;;DC: Leatherback turtle;;;32.0;afa45a720eef4ac7b3f0b3ae009c8c3d
Patrol;5;4-Apr-23;7:14:43 AM;9709084333333330,00;20548166666666600,00;Apr 15, 2023, 10:55:20 AM;Dwi Iqbal Maulana;Sea turtle activity;P: predation;Amandangan;;;;;;4-Apr-23;;;;;T: beneath tree, shrub, forest;A: above high tide;;;;;;CM: Green turtle;;;;47fd866f40634f1cb1a3dcebd6dc47f0
Patrol;4;4-Apr-23;7:11:29 AM;9709068666666660,00;20548983333333300,00;Apr 15, 2023, 10:55:20 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;4-Apr-23;;;;;S: front slope of dune in sand;A: above high tide;;;;;;CM: Green turtle;;;;04176ab44d884f6d8903799925986d75
Patrol;3;4-Apr-23;7:00:04 AM;9708740333333330,00;20589033333333300,00;Apr 15, 2023, 10:55:20 AM;Dwi Iqbal Maulana;Sea turtle activity;H: hatching (both direct encounter and visible tracks);Amandangan;;;;;;4-Apr-23;;;86.0;;D: dune sand (area on top of dune);A: above high tide;;;;;;CM: Green turtle;;;10.0;8716243be79a4ff7b500327bed3f7c0a
Patrol;2;4-Apr-23;6:53:12 AM;9708732499999990,00;20589716666666600,00;Apr 15, 2023, 10:55:20 AM;Dwi Iqbal Maulana;Sea turtle activity;IS: successful nesting;Amandangan;;;;;;4-Apr-23;;;;;S: front slope of dune in sand;BE: between low and high tide;;;;;;CM: Green turtle;;;;6b392ea694b941c18f2c3ed862e4ea46
